season,team,TS_pct,cluster,style_name,z_score,metric,eFG_pct
1946-1947,BOS,32.196969696969695,0,Balanced,8.681433107153406,TS_pct,
1954-1955,BOS,16.126350789692435,1,Balanced,4.124136735043072,TS_pct,
1954-1955,NYK,33.80681818181818,0,Balanced,9.137952965036733,TS_pct,
1956-1957,BOS,26.118699952896844,0,Balanced,6.9577610561145,TS_pct,
1956-1957,GSW,48.49003735990038,0,Balanced,13.301811362604322,TS_pct,
1956-1957,LAL,23.344435736677116,0,Balanced,6.171036890679373,TS_pct,
1956-1957,NYK,21.760154738878143,0,Balanced,5.721767445281526,TS_pct,
1957-1958,BOS,45.94785059901339,0,Balanced,12.580899581330552,TS_pct,
1957-1958,GSW,42.82085561497326,0,Balanced,11.694148238485868,TS_pct,
1957-1958,LAL,60.94080338266384,0,Balanced,16.832592047089356,TS_pct,
1962-1963,BOS,17.65422077922078,1,Balanced,4.557409180896464,TS_pct,
1962-1963,LAL,40.56987788331072,0,Balanced,11.05581733726827,TS_pct,
1962-1963,NYK,19.682675814751285,0,Balanced,5.132637230777357,TS_pct,
1950-1951,BOS,,1,Balanced,4.890000713838157,eFG_pct,10.795180722891564
1951-1952,ATL,,0,Balanced,2.5200778746956654,eFG_pct,5.915032679738562
1954-1955,ATL,,0,Balanced,4.27721583076025,eFG_pct,9.533333333333331
1954-1955,BOS,,1,Balanced,8.515527304610995,eFG_pct,18.26086956521739
1954-1955,GSW,,0,Balanced,2.617946763742934,eFG_pct,6.116564417177914
1955-1956,BOS,,1,Balanced,7.2360957993408945,eFG_pct,15.626262626262626
1955-1956,LAL,,1,Balanced,3.977259385765401,eFG_pct,8.91566265060241
1958-1959,BOS,,1,Balanced,9.806868037294715,eFG_pct,20.92
1958-1959,GSW,,1,Balanced,5.702405229250435,eFG_pct,12.46808510638298
1958-1959,LAL,,1,Balanced,4.10476279164812,eFG_pct,9.178217821782178
1959-1960,BOS,,1,Balanced,9.141749748632256,eFG_pct,19.550387596899224
1960-1961,LAL,,1,Balanced,5.725413573592829,eFG_pct,12.515463917525771
1961-1962,BOS,,1,Balanced,12.991949361450713,eFG_pct,27.47872340425532
1962-1963,ATL,,0,Balanced,4.062068169657591,eFG_pct,9.090301003344482
1962-1963,BOS,,1,Balanced,7.321938636625645,eFG_pct,15.803030303030305
1963-1964,ATL,,1,Balanced,8.424438035392553,eFG_pct,18.073298429319372
1963-1964,BOS,,1,Balanced,6.243997865578568,eFG_pct,13.583333333333334
1963-1964,LAL,,0,Balanced,2.7515279595973023,eFG_pct,6.391634980988593
1965-1966,LAL,,1,Balanced,8.80437743107855,eFG_pct,18.855670103092784
1968-1969,BOS,,1,Balanced,17.775977467262262,eFG_pct,37.33
1974-1975,GSW,,1,Balanced,3.9516917282614306,eFG_pct,8.863013698630137
1975-1976,BOS,,0,Balanced,2.7751601940714137,eFG_pct,6.440298507462686
1980-1981,BOS,,1,Balanced,3.499393498896178,eFG_pct,7.931640625
1981-1982,DAL,,1,Balanced,4.299248825663337,eFG_pct,9.578703703703704
1981-1982,GSW,,0,Balanced,2.679537467456939,eFG_pct,6.243392070484582
1981-1982,HOU,,1,Balanced,4.358521260931379,eFG_pct,9.700757575757576
1981-1982,PHX,,1,Balanced,7.405890271987427,eFG_pct,15.975903614457833
1981-1982,POR,,1,Balanced,5.781366288926112,eFG_pct,12.630681818181818
1981-1982,SAS,,1,Balanced,4.6545521882278775,eFG_pct,10.310344827586206
